epoch,step,test_group_l1,test_hsic,test_hsic_reg,test_l0_penalty,test_l0_reg,test_loss_x,test_notears,test_score_sparse,test_x_mae,test_x_r2,test_x_rmse,train_group_l1,train_hsic,train_hsic_reg,train_l0_penalty,train_l0_reg,train_loss_x,train_notears,train_score_sparse,train_x_mae,train_x_r2,train_x_rmse,val_group_l1,val_hsic,val_hsic_reg,val_l0_penalty,val_l0_reg,val_loss,val_loss_x,val_notears,val_score_sparse,val_x_mae,val_x_r2,val_x_rmse
29,449,,,,,,,,,,,,,,,,,,,,,,,0.0,4.5238997699925676e-05,0.0,0.0,0.0,0.02638385072350502,0.02638385072350502,0.0,0.8999999761581421,0.11880514025688171,-0.30607470870018005,0.16242855787277222
29,449,,,,,,,,,,,,0.0,4.5767115807393566e-05,0.0,0.0,0.0,0.023555796593427658,0.0,0.431583970785141,0.1222900003194809,-0.1586274802684784,0.15319852530956268,,,,,,,,,,,,
30,464,,,,,,,,,,,,,,,,,,,,,,,0.0,4.5010645408183336e-05,0.0,0.0,0.0,0.024516714736819267,0.024516714736819267,0.0,0.8999999761581421,0.13085147738456726,-0.21356318891048431,0.15657402575016022
30,464,,,,,,,,,,,,0.0,4.547128628473729e-05,0.0,0.0,0.0,0.02291075512766838,0.0,0.37512531876564026,0.1180775910615921,-0.1259804666042328,0.15093128383159637,,,,,,,,,,,,
31,479,,,,,,,,,,,,,,,,,,,,,,,0.0,4.498060297919437e-05,0.0,0.0,0.0,0.020249133929610252,0.020249133929610252,0.0,0.8999999761581421,0.11041617393493652,-0.0023212607484310865,0.14229609072208405
31,479,,,,,,,,,,,,0.0,4.556528074317612e-05,0.0,0.0,0.0,0.02345183491706848,0.0,0.4963093400001526,0.12043621391057968,-0.15315799415111542,0.15281866490840912,,,,,,,,,,,,
32,494,,,,,,,,,,,,,,,,,,,,,,,0.0,4.522875678958371e-05,0.0,0.0,0.0,0.020995544269680977,0.020995544269680977,0.0,0.8999999761581421,0.11013111472129822,-0.039283204823732376,0.14489531517028809
32,494,,,,,,,,,,,,0.0,4.655051452573389e-05,0.0,0.0,0.0,0.022278064861893654,0.0,0.4200746715068817,0.11836288869380951,-0.09604178369045258,0.1490679830312729,,,,,,,,,,,,
33,509,,,,,,,,,,,,,,,,,,,,,,,0.0,4.532614548224956e-05,0.0,0.0,0.0,0.020774999633431435,0.020774999633431435,0.0,0.8999999761581421,0.1174987331032753,-0.028336655348539352,0.14413151144981384
33,509,,,,,,,,,,,,0.0,4.5445423893397674e-05,0.0,0.0,0.0,0.021483946591615677,0.0,0.5167146325111389,0.11463362723588943,-0.05639545992016792,0.14652280509471893,,,,,,,,,,,,
34,524,,,,,,,,,,,,,,,,,,,,,,,0.0,4.532923048827797e-05,0.0,0.0,0.0,0.021608591079711914,0.021608591079711914,0.0,0.8999999761581421,0.11045043915510178,-0.06963972747325897,0.1469956338405609
34,524,,,,,,,,,,,,0.0,4.654285294236615e-05,0.0,0.0,0.0,0.021680139005184174,0.0,0.4594133198261261,0.11711062490940094,-0.06615392863750458,0.14713086187839508,,,,,,,,,,,,
35,539,,,,,,,,,,,,,,,,,,,,,,,0.0,4.5324697566684335e-05,0.0,0.0,0.0,0.0216835830360651,0.0216835830360651,0.0,0.8999999761581421,0.12127349525690079,-0.07331260293722153,0.1472495049238205
35,539,,,,,,,,,,,,0.0,4.5945005695102736e-05,0.0,0.0,0.0,0.02179453894495964,0.0,0.44195201992988586,0.11510846018791199,-0.07142234593629837,0.14757336676120758,,,,,,,,,,,,
36,554,,,,,,,,,,,,,,,,,,,,,,,0.0,4.529953730525449e-05,0.0,0.0,0.0,0.020043624565005302,0.020043624565005302,0.0,0.8999999761581421,0.11210610717535019,0.007859582081437111,0.1415719985961914
36,554,,,,,,,,,,,,0.0,4.6065044443821535e-05,0.0,0.0,0.0,0.020631443709135056,0.0,0.5064213275909424,0.11395808309316635,-0.014341357164084911,0.14362312853336334,,,,,,,,,,,,
37,569,,,,,,,,,,,,,,,,,,,,,,,0.0,4.517795969150029e-05,0.0,0.0,0.0,0.02099757455289364,0.02099757455289364,0.0,0.8999999761581421,0.11849101632833481,-0.03935365006327629,0.14490151405334473
37,569,,,,,,,,,,,,0.0,4.5918175601400435e-05,0.0,0.0,0.0,0.020738229155540466,0.0,0.46513068675994873,0.11392087489366531,-0.01956004463136196,0.14397074282169342,,,,,,,,,,,,
38,584,,,,,,,,,,,,,,,,,,,,,,,0.0,4.506201730691828e-05,0.0,0.0,0.0,0.020115172490477562,0.020115172490477562,0.0,0.8999999761581421,0.11088238656520844,0.004313332960009575,0.14182455837726593
