epoch,step,test_dec_cross_entropy,test_dec_self_entropy,test_enc_self_entropy,test_loss,test_mae,test_r2,test_rmse,train_dec_cross_entropy,train_dec_self_entropy,train_enc_self_entropy,train_loss,train_mae,train_r2,train_rmse,val_dec_cross_entropy,val_dec_self_entropy,val_enc_self_entropy,val_loss,val_mae,val_r2,val_rmse
40,2623,,,,,,,,,,,,,,,1.8103443384170532,0.0,1.7683935165405273,1.175479531288147,0.8381096720695496,0.8780951499938965,1.0787562131881714
40,2623,,,,,,,,1.8358078002929688,0.0,1.7437958717346191,1.052977442741394,0.8090276122093201,0.898967444896698,1.019099235534668,,,,,,,
41,2687,,,,,,,,,,,,,,,1.8216270208358765,0.0,1.787102222442627,1.0438228845596313,0.804169774055481,0.8903440833091736,1.017356276512146
41,2687,,,,,,,,1.8285059928894043,0.0,1.756085991859436,1.0667977333068848,0.8194013833999634,0.8962655663490295,1.0278353691101074,,,,,,,
42,2751,,,,,,,,,,,,,,,1.80454421043396,0.0,1.7991949319839478,1.2987077236175537,0.887238085269928,0.8655483722686768,1.133641004562378
42,2751,,,,,,,,1.8290976285934448,0.0,1.7487902641296387,1.0413522720336914,0.8079659342765808,0.8994053602218628,1.0159685611724854,,,,,,,
43,2815,,,,,,,,,,,,,,,1.8397631645202637,0.0,1.775199294090271,1.0144613981246948,0.7871205806732178,0.8936266303062439,1.0018796920776367
43,2815,,,,,,,,1.8298074007034302,0.0,1.755708932876587,1.1050071716308594,0.8282901048660278,0.8930613994598389,1.0461481809616089,,,,,,,
44,2879,,,,,,,,,,,,,,,1.8670318126678467,0.0,1.7667109966278076,1.036393642425537,0.8016749024391174,0.8906126618385315,1.0127711296081543
44,2879,,,,,,,,1.8620716333389282,0.0,1.7583640813827515,1.1596671342849731,0.850735604763031,0.8896611928939819,1.0686321258544922,,,,,,,
45,2943,,,,,,,,,,,,,,,1.8425376415252686,0.0,1.7814059257507324,1.044999122619629,0.7930206060409546,0.8913751244544983,1.0160781145095825
45,2943,,,,,,,,1.8468480110168457,0.0,1.7543013095855713,1.0629538297653198,0.8137853741645813,0.8965802788734436,1.025076985359192,,,,,,,
46,3007,,,,,,,,,,,,,,,1.8474539518356323,0.0,1.7560802698135376,1.0705552101135254,0.799211323261261,0.8894471526145935,1.028441071510315
